id,username,created_at,lng,lat,text
1517608900236742656,NeilJYoung17,Fri Apr 22 20:58:52 +0000 2022,-118.36964499999999,34.0870095,"As someone born and raised in Orlando and also a gay man, watching this all go down is just WILD. What an embarrass… https://t.co/Wjb0nHLw7l"
1517608907228647424,Michael18624951,Fri Apr 22 20:58:53 +0000 2022,-117.17254349999999,32.650102000000004,@TrendingLiberal Let me ask Jesus….. no.  They like liars and bronze age mythology
1517608906016493568,Veg_Ezy_,Fri Apr 22 20:58:53 +0000 2022,-121.5453825,38.559987,The good life 💕 https://t.co/J6EmvF1Vlx
1517608915386585088,daisyyyyleonor,Fri Apr 22 20:58:55 +0000 2022,-118.048242,34.046251999999996,@LAGalaxy Our Favorite Roldan 🫶🏼 Happy Birthday!
1517608924756647937,EroticaGood,Fri Apr 22 20:58:58 +0000 2022,-121.716454,37.931388,@ACTBrigitte He's not going to sleep with you.
1517608925096423424,profcgarza,Fri Apr 22 20:58:58 +0000 2022,-121.746798,36.816431,Rogue One coming in for another happy landing after a successful morning of mapping at Elkhorn Slough. https://t.co/Wh7Y3IBnjW
1517608934353240064,SylviaLydiaMor4,Fri Apr 22 20:59:00 +0000 2022,-118.4119065,34.0207895,Movies Under Hitlerhttps://t.co/yRXwJhsyjt
1517608938933346304,818juelz,Fri Apr 22 20:59:01 +0000 2022,-118.731399,34.2673105,@LetsWatchPorn0 Broski you can’t make this shit up 🤣🤣🤣🤣
1517608949691805696,goldenlotusinc,Fri Apr 22 20:59:04 +0000 2022,-122.309096,37.548005,Heavy Chinese Huali Wood Display Cabinet Bookcase Divider https://t.co/YoFDa6QQYR via @chairishco
1517608953865285632,ExposureDrag,Fri Apr 22 20:59:05 +0000 2022,-118.18205,34.114531,Don't miss the season finale of #rupaulsdragrace S14 TONIGHT at the Offbeat Bar with your hostess #councilwoman… https://t.co/kuK9Vj4EKq
1517608958881525760,quis__custodiet,Fri Apr 22 20:59:06 +0000 2022,-118.32413,33.99705,2059ZN230LA LAPD AIR SUPPORT DIVISIONN33.9971 W118.3241Altitude: 725ftCourse: 267ºGroundspeed: 55kts https://t.co/9jZEU6SaZ8
1517608962375385090,anthonyramey5,Fri Apr 22 20:59:07 +0000 2022,-118.4119065,34.0207895,@Boulder_Tim It's been windy here in L.A for a couple of weeks now. Crazy
1517608973024735232,BryceWettstein,Fri Apr 22 20:59:09 +0000 2022,-117.253906,33.045009,Always keep hopeful! 💜🦋🌻 #hope #hopeful https://t.co/wvlRkBLdaF
1517608976317181952,iamcindychu,Fri Apr 22 20:59:10 +0000 2022,-118.4119065,34.0207895,@MeetYourMuse1 @farfetch I need to see this 😍
1517608981564338176,ericwn913,Fri Apr 22 20:59:11 +0000 2022,-117.89666199999999,34.0471795,I genuinely don’t know which mutuals to keep following and which ones to unfollow.
1517608987117555712,drcchampagne,Fri Apr 22 20:59:12 +0000 2022,-117.104989,32.810012,Dr. Ladson-Billings highlights that teachers are not equipped to infuse CRT into their practice — but bc critical t… https://t.co/ZfDi06tPyV
